ABB | 2012-12 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ABB | 2014-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ABB | 2015-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ADANIENSOL | 2014-03 | debt_free_substitution | interest = 0, ICR set to None (Debt Free)
ADANIENSOL | 2015-03 | leverage | D/E=8.96 > 5, flagged high leverage
ADANIENSOL | 2015-03 | interest_risk | ICR=1.42 < 1.5
ADANIENSOL | 2024-03 | opm_mismatch | computed opm=34.39 vs source opm=30.0
ADANIGREEN | 2017-03 | interest_risk | ICR=1.45 < 1.5
ADANIGREEN | 2018-03 | leverage | D/E=7.36 > 5, flagged high leverage
ADANIGREEN | 2019-03 | leverage | D/E=5.76 > 5, flagged high leverage
ADANIGREEN | 2019-03 | interest_risk | ICR=1.43 < 1.5
ADANIGREEN | 2020-03 | leverage | D/E=6.31 > 5, flagged high leverage
ADANIGREEN | 2020-03 | interest_risk | ICR=1.35 < 1.5
ADANIGREEN | 2021-03 | leverage | D/E=11.0 > 5, flagged high leverage
ADANIGREEN | 2021-03 | interest_risk | ICR=1.35 < 1.5
ADANIGREEN | 2022-03 | leverage | D/E=20.21 > 5, flagged high leverage
ADANIGREEN | 2023-03 | leverage | D/E=7.42 > 5, flagged high leverage
ADANIGREEN | 2024-03 | leverage | D/E=6.6 > 5, flagged high leverage
ADANIPOWER | 2013-03 | leverage | D/E=9.74 > 5, flagged high leverage
ADANIPOWER | 2013-03 | interest_risk | ICR=0.69 < 1.5
ADANIPOWER | 2014-03 | leverage | D/E=6.75 > 5, flagged high leverage
ADANIPOWER | 2014-03 | interest_risk | ICR=1.14 < 1.5
ADANIPOWER | 2015-03 | leverage | D/E=7.82 > 5, flagged high leverage
ADANIPOWER | 2015-03 | interest_risk | ICR=1.21 < 1.5
ADANIPOWER | 2016-03 | leverage | D/E=7.06 > 5, flagged high leverage
ADANIPOWER | 2017-03 | leverage | D/E=17.49 > 5, flagged high leverage
ADANIPOWER | 2017-03 | interest_risk | ICR=0.39 < 1.5
ADANIPOWER | 2018-03 | leverage | D/E=59.43 > 5, flagged high leverage
ADANIPOWER | 2018-03 | interest_risk | ICR=1.11 < 1.5
ADANIPOWER | 2019-03 | leverage | D/E=6.09 > 5, flagged high leverage
ADANIPOWER | 2019-03 | interest_risk | ICR=1.31 < 1.5
ADANIPOWER | 2020-03 | leverage | D/E=8.52 > 5, flagged high leverage
ADANIPOWER | 2020-03 | interest_risk | ICR=1.14 < 1.5
AXISBANK | 2013-03 | opm_mismatch | computed opm=30.58 vs source opm=1353.0
AXISBANK | 2013-03 | interest_risk | ICR=1.27 < 1.5
AXISBANK | 2014-03 | opm_mismatch | computed opm=31.47 vs source opm=2307.0
AXISBANK | 2014-03 | interest_risk | ICR=1.3 < 1.5
AXISBANK | 2015-03 | opm_mismatch | computed opm=31.36 vs source opm=3097.0
AXISBANK | 2015-03 | interest_risk | ICR=1.33 < 1.5
AXISBANK | 2016-03 | opm_mismatch | computed opm=32.61 vs source opm=3466.0
AXISBANK | 2016-03 | interest_risk | ICR=1.43 < 1.5
AXISBANK | 2017-03 | opm_mismatch | computed opm=53.45 vs source opm=-5715.0
AXISBANK | 2018-03 | opm_mismatch | computed opm=63.12 vs source opm=-10277.0
AXISBANK | 2019-03 | opm_mismatch | computed opm=49.39 vs source opm=-5447.0
AXISBANK | 2020-03 | opm_mismatch | computed opm=55.98 vs source opm=-9859.0
